sofifa_id,short_name
251845,A. Francis
251844,A. Popa
251843,S. Mensah
251842,M. Ștefănescu
251841,J. Zapata
251840,J. Mena Vacca
251839,E. Morillo
251838,D. Echeverri
251837,O. Rodríguez
251835,J. Caicedo
251833,E. Zapata
251832,H. Vergara
251831,D. Garcia
251827,M. Halsøy
251826,S. Acuña
251824,N. Andermatt
251823,T. Tattermusch
251822,L. Bredol
251819,J. Neufville
251818,L. Requena
251817,J. Ruiz Gomez
251816,F. Honda
251814,Ángel Fraga
251809,S. Botman
251804,S. Dest
251803,A. Maadi
251802,E. Vardar
251801,H. Kavaklıdere
251800,U. Akyol
251799,S. Yatağan
251796,Y. Türk
251795,F. Gülmez
251793,H. Mawatari
251790,H. Rafia
251789,P. Martin
251787,M. Kocić
251785,S. Kilyén
251784,M. Radin
251782,B. Yaméogo
251781,R. Opruț
251779,G. Debeljuh
251777,I. Pop
251776,W. Clar
251775,Paulinho
251770,G. Cîmpanu
251769,G. Calò
251768,G. Chirullo
251767,L. Sorrentino
251766,K. Stallone
251765,G. Lionetti
251764,D. Michalski
251763,L. Randjelovic
251762,S. Elia
251761,A. Mallamo
251760,M. Rodin
251759,O. Gorin
251758,C. Villagra
251757,Javi Gómez
251756,R. Nteka
251755,S. Gassama
251754,S. Kersten
251753,J. Odehnal
251752,L. Chevalier
251751,S. Agouzoul
251750,D. Singhal
251749,O. Patla
251748,D. Bajwa
251747,A. Khurana
251746,R. Jayaraman
251745,C. Palan
251743,A. Ginti
251742,G. Chatterjee
251739,V. Boral
251736,A. Swaminathan
251735,A. Varkay
251733,P. Nagarajan
251732,R. Nadkarni
251731,B. Sidhu
251729,D. Pillai
251728,B. Raj
251727,H. Bhandari
251726,D. Sundaram
251725,T. Atwal
251724,T. Agarwal
251723,P. Bhatt
251722,A. Chakraborty
251721,A. Deshpande
251720,R. Mandive
251718,B. Vendaza
251717,S. Herreyra
251713,C. Lendezo
251712,J. Santigaro
251710,E. Lardero
251709,J. Doriado
251708,L. Conderia
251706,A. Morenzo
251705,J. Breitez
251704,J. Mejídez
